EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,39,Yes,Travel_Frequently,Research & Development,8,1,Life Sciences,1,1,Male,4,2,Healthcare Representative,4,Single,13773.0,17667,3,Y,Yes,24,3,1,80,1,18,1,3,29,24,9,3
30,40,No,Travel_Frequently,Sales,13,5,Life Sciences,1,3,Female,3,3,Sales Executive,4,Single,2289.0,13593,5,Y,Yes,19,3,2,80,3,38,4,1,17,3,2,8
31,20,No,Travel_Frequently,Research & Development,10,4,Marketing,1,2,Male,2,4,Research Scientist,3,Divorced,2447.0,10160,1,Y,No,21,3,2,80,2,3,2,4,16,4,1,6
32,59,No,Non-Travel,  research & development  ,18,2,Technical Degree,1,3,Female,2,3,Sales Executive,1,Divorced,15139.0,24033,6,Y,No,11,3,2,80,3,22,2,3,37,0,13,14
33,51,No,Travel_Rarely,Sales,9,1,Medical,1,3,Male,4,1,Sales Executive,1,Married,14757.0,11291,7,Y,No,18,3,3,80,1,18,4,4,13,10,0,2
34,49,No,Travel_Rarely,Human Resources,1,2,Technical Degree,1,4,Female,1,1,Manager,1,Married,6462.0,14210,0,Y,Yes,18,4,1,80,2,25,3,2,22,17,10,4
35,38,No,Travel_Rarely,Human Resources,13,4,Technical Degree,1,3,Male,3,1,Human Resources,4,Married,8657.0,25702,3,Y,No,13,3,3,80,2,25,0,4,24,11,5,16
36,38,No,Travel_Frequently,Research & Development,18,1,Life Sciences,1,1,Male,4,1,Healthcare Representative,4,Single,5920.0,25867,3,Y,No,25,4,2,80,3,6,6,3,14,12,3,0
37,28,No,Non-Travel,Research & Development,15,3,Life Sciences,1,1,Male,2,5,Manufacturing Director,1,Divorced,11345.0,6132,4,Y,Yes,23,4,3,80,3,31,6,1,21,8,6,0
38,56,No,Travel_Rarely,Sales,2,3,Technical Degree,1,1,Male,3,3,Sales Representative,1,Single,9417.0,2844,3,Y,No,19,3,2,80,1,32,0,4,2,1,6,15
39,21,No,Travel_Rarely,Research & Development,11,3,Human Resources,1,2,Female,3,1,Laboratory Technician,4,Married,18160.0,24161,8,Y,No,21,3,1,80,2,25,5,4,18,4,13,13
40,18,No,Travel_Rarely,Research & Development,29,4,Human Resources,1,1,Female,1,2,Healthcare Representative,4,Married,,3643,6,Y,No,23,3,2,80,2,23,3,3,33,15,9,10
41,45,No,Travel_Rarely,Sales,14,3,Other,1,2,Male,2,2,Manager,2,Single,1687.0,3263,1,Y,No,23,3,4,80,1,22,4,1,34,23,0,13
42,41,No,Non-Travel,Research & Development,22,1,Technical Degree,1,1,Male,2,5,Manager,2,Married,17913.0,4934,0,Y,No,21,4,4,80,3,37,6,1,0,0,11,7
43,52,No,Non-Travel,Sales,15,3,Human Resources,1,3,Male,2,3,Sales Representative,2,Married,14223.0,24523,8,Y,Yes,18,3,1,80,0,25,1,2,20,2,12,1
44,30,No,Travel_Rarely,Human Resources,14,1,Other,1,4,Male,3,3,Manager,1,Married,9080.0,9174,0,Y,No,13,3,3,80,0,30,2,2,28,21,8,9
45,51,No,Travel_Rarely,Sales,16,4,Other,1,1,Male,2,3,Sales Representative,3,Single,19537.0,2215,5,Y,Yes,20,3,3,80,2,5,1,3,5,3,7,4
46,28,No,Non-Travel,Research & Development,23,2,Technical Degree,1,2,Female,4,5,Manager,4,Single,10486.0,6776,1,Y,No,15,4,3,80,2,30,2,1,36,10,9,14
47,53,No,Travel_Frequently,Research & Development,29,5,Other,1,2,Male,2,3,Research Scientist,2,Married,7094.0,20724,3,Y,Yes,13,3,2,80,3,39,1,1,0,0,0,0
48,34,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,1,4,Female,3,3,Healthcare Representative,3,Divorced,8692.0,26090,5,Y,No,15,4,4,80,0,11,4,2,0,0,14,1
49,52,No,Travel_Rarely,Research & Development,19,5,Life Sciences,1,1,Female,2,1,Research Director,4,Single,12088.0,16100,4,Y,No,19,3,1,80,2,16,4,2,26,22,12,16
50,35,No,Travel_Rarely,Sales,27,2,Life Sciences,1,3,Female,2,3,Sales Representative,3,Divorced,4103.0,11699,5,Y,Yes,25,3,3,80,3,25,3,3,20,13,7,14
51,57,No,Travel_Rarely,Human Resources,9,4,Medical,1,1,Male,3,1,Manager,1,Married,3440.0,20474,2,Y,No,22,3,3,80,0,2,1,1,15,12,4,17
52,39,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,1,Female,2,1,Laboratory Technician,1,Divorced,8124.0,3116,4,Y,Yes,14,3,1,80,1,14,1,4,39,34,0,7
53,41,Yes,Travel_Rarely,Human Resources,5,2,Life Sciences,1,4,Female,1,3,Manager,1,Single,18228.0,9750,1,Y,No,16,3,2,80,2,37,3,2,25,15,14,13
54,36,No,Travel_Rarely,Research & Development,11,5,Technical Degree,1,1,Male,3,2,Manufacturing Director,2,Single,15031.0,15580,6,Y,No,13,3,3,80,1,23,3,3,15,5,3,7
55,54,Yes,Non-Travel,Research & Development,28,3,Human Resources,1,3,Male,2,4,Research Director,4,Single,15536.0,15932,2,Y,Yes,13,3,2,80,0,29,4,1,27,14,6,7
56,56,No,Travel_Frequently,Human Resources,20,1,Human Resources,1,2,Female,1,2,Human Resources,1,Married,1446.0,12932,0,Y,Yes,15,3,2,80,3,35,4,1,0,0,13,12
57,38,No,Travel_Rarely,Sales,25,4,Life Sciences,1,4,Female,4,3,Sales Representative,2,Divorced,4915.0,23718,7,Y,No,18,3,2,80,3,26,5,2,35,30,11,4
58,25,No,Travel_Rarely,Sales,24,2,Life Sciences,1,3,Male,3,3,Sales Executive,2,Single,16787.0,15246,7,Y,Yes,24,3,3,80,0,21,1,3,9,9,4,9
59,45,No,Travel_Frequently,Sales,28,5,Life Sciences,1,2,Male,2,2,Sales Executive,2,Married,18618.0,20545,2,Y,No,18,3,3,80,1,1,4,4,16,8,10,6
60,22,No,Travel_Rarely,Research & Development,4,3,Other,1,4,Male,3,3,Laboratory Technician,2,Single,7587.0,21640,6,Y,No,13,3,1,80,3,6,6,2,22,10,2,8
61,34,No,Travel_Rarely,Research & Development,20,5,Technical Degree,1,4,Male,1,1,Research Director,1,Married,1226.0,11340,8,Y,No,18,3,1,80,2,15,4,3,6,1,11,13
62,54,No,Travel_Rarely,Sales,18,3,Technical Degree,1,2,Male,3,5,Manager,2,Single,12151.0,21560,7,Y,No,23,4,2,80,1,23,1,1,6,0,10,5
63,53,No,Non-Travel,Research & Development,25,1,Technical Degree,1,2,Male,4,3,Manufacturing Director,1,Single,6558.0,8380,2,Y,No,21,3,3,80,1,29,3,4,14,2,3,9
64,36,No,Travel_Frequently,Research & Development,3,1,Human Resources,1,3,Female,2,3,Manufacturing Director,1,Married,12971.0,16988,1,Y,No,23,3,2,80,2,0,1,3,33,1,1,0
65,44,No,Travel_Rarely,Sales,4,2,Medical,1,1,Female,4,2,Manager,2,Married,1186.0,17833,9,Y,Yes,18,4,1,80,0,26,6,4,3,3,7,10
66,51,Yes,Travel_Rarely,Research & Development,14,2,Human Resources,1,1,Female,1,1,Healthcare Representative,1,Single,15680.0,21729,6,Y,Yes,13,4,2,80,3,8,0,3,13,6,11,7
67,28,No,Travel_Frequently,Sales,7,3,Technical Degree,1,1,Male,3,2,Manager,4,Single,15559.0,25380,6,Y,Yes,20,3,4,80,1,6,1,3,13,1,1,5
68,29,No,Travel_Rarely,Research & Development,26,3,Marketing,1,1,Female,2,2,Manager,4,Single,12069.0,11332,8,Y,Yes,25,3,2,80,3,4,0,3,15,5,13,16
69,38,Yes,Travel_Rarely,Sales,8,3,Medical,1,1,Male,2,3,Sales Representative,3,Divorced,3535.0,21317,4,Y,Yes,23,3,3,80,3,29,1,3,6,6,12,3
70,28,No,Travel_Rarely,Human Resources,24,3,Life Sciences,1,3,Male,1,1,Manager,4,Married,2932.0,26125,3,Y,No,25,3,2,80,1,26,6,4,31,18,10,5
71,56,No,Travel_Rarely,Research & Development,16,1,Other,1,4,Female,1,3,Manufacturing Director,1,Married,3032.0,7655,7,Y,No,20,3,2,80,0,9,0,2,18,7,5,14
72,45,No,Non-Travel,Sales,20,2,Human Resources,1,3,Male,3,3,Manager,1,Married,2252.0,4448,3,Y,No,12,3,3,80,1,24,0,4,1,1,13,9
73,22,Yes,Non-Travel,Sales,15,2,Other,1,3,Male,2,3,Manager,4,Single,6509.0,16185,3,Y,Yes,20,3,4,80,0,17,6,3,9,2,6,16
74,34,No,Travel_Rarely,Research & Development,7,4,Medical,1,3,Male,1,3,Research Director,2,Married,6074.0,19211,1,Y,No,12,4,3,80,2,6,1,4,16,13,6,9
75,37,No,Travel_Rarely,Research & Development,26,2,Marketing,1,4,Male,2,5,Research Director,2,Single,14900.0,24280,0,Y,No,19,3,1,80,0,30,5,4,36,24,12,4
76,58,No,Travel_Rarely,Research & Development,17,2,Medical,1,3,male,3,4,Healthcare Representative,1,Married,15523.0,3203,3,Y,No,17,3,4,80,0,31,4,4,11,0,0,6
77,29,No,Travel_Rarely,Research & Development,22,5,Human Resources,1,3,Female,4,1,Research Director,2,Married,2881.0,8619,6,Y,No,16,4,4,80,1,10,2,3,5,4,7,9
78,23,No,Travel_Rarely,Sales,22,5,Technical Degree,1,4,Female,1,5,Manager,3,Married,1269.0,8798,8,Y,No,17,3,3,80,3,9,4,4,21,2,8,10
79,34,No,Travel_Rarely,Research & Development,22,4,Life Sciences,1,3,Female,3,4,Research Scientist,3,Single,2630.0,19228,8,Y,No,18,3,2,80,3,21,0,1,31,21,13,2
80,36,No,Travel_Frequently,Sales,12,3,Technical Degree,1,1,Female,4,4,Manager,4,Single,18958.0,4971,9,Y,No,22,3,1,80,0,30,1,3,40,25,13,10
81,43,No,Travel_Rarely,Research & Development,18,4,Technical Degree,1,2,Female,3,4,Healthcare Representative,4,Divorced,14383.0,3268,0,Y,Yes,11,3,1,80,0,40,1,4,19,17,6,5
82,49,Yes,Travel_Rarely,Research & Development,24,4,Human Resources,1,3,Male,1,5,Manufacturing Director,2,Married,17152.0,17952,4,Y,No,18,3,4,80,1,13,1,1,0,0,12,5
83,23,No,Travel_Rarely,Research & Development,14,1,Technical Degree,1,2,Female,3,1,Research Director,1,Single,12084.0,6744,6,Y,No,13,3,1,80,0,2,1,4,5,0,7,14
84,53,No,Travel_Rarely,Sales,15,2,Technical Degree,1,3,Male,2,2,Sales Executive,4,Single,2695.0,9735,6,Y,Yes,13,3,4,80,1,23,5,2,18,5,3,2
85,55,No,Travel_Frequently,Research & Development,15,1,Human Resources,1,3,Female,1,4,Manager,3,Divorced,15821.0,16548,9,Y,No,16,4,4,80,2,13,2,4,17,0,11,10
86,28,No,Travel_Rarely,Research & Development,5,2,Human Resources,1,1,Male,2,2,Healthcare Representative,4,Married,4262.0,11821,5,Y,No,14,3,1,80,0,15,3,4,5,4,7,7
87,50,Yes,Travel_Rarely,Research & Development,16,4,Marketing,1,4,Female,3,2,Laboratory Technician,4,Divorced,2445.0,5530,9,Y,No,14,3,4,80,2,27,0,2,32,26,2,7
88,41,No,Travel_Frequently,Research & Development,5,2,Technical Degree,1,2,Female,1,3,Manager,3,Single,17436.0,7085,3,Y,Yes,14,3,2,80,0,34,2,3,22,9,12,15
89,40,Yes,Travel_Rarely,Research & Development,2,3,Medical,1,4,Female,2,2,Research Director,1,Married,10949.0,10995,2,Y,No,20,3,4,80,0,39,4,2,22,5,0,2
90,32,Yes,Travel_Rarely,Research & Development,20,3,Life Sciences,1,1,Female,2,3,Manufacturing Director,4,Single,19050.0,26703,8,Y,No,19,3,2,80,2,1,3,3,25,22,12,7
91,44,No,Non-Travel,Sales,28,4,Other,1,1,Male,2,1,Sales Executive,4,Married,7901.0,4264,9,Y,No,18,3,2,80,2,33,3,2,12,11,12,7
92,28,Yes,Travel_Frequently,Research & Development,25,5,Life Sciences,1,2,Male,4,1,Manufacturing Director,4,Single,1719.0,2019,3,Y,Yes,13,3,2,80,1,17,1,4,6,3,15,12
93,34,No,Travel_Rarely,Research & Development,9,3,Human Resources,1,4,Male,2,3,Manager,2,Single,9597.0,20165,7,Y,No,11,3,1,80,1,6,2,4,14,11,7,0
94,31,No,Travel_Rarely,Research & Development,22,4,Other,1,1,Male,2,1,Healthcare Representative,4,Single,7855.0,14962,0,Y,No,11,3,2,80,2,37,4,3,26,12,14,9
95,44,No,Travel_Rarely,Research & Development,27,1,Human Resources,1,3,Male,3,4,Research Director,3,Married,19678.0,25241,6,Y,No,11,3,1,80,0,6,1,3,25,16,10,4
96,35,Yes,Travel_Rarely,Research & Development,9,5,Marketing,1,3,Male,3,1,Manufacturing Director,1,Married,9263.0,23218,5,Y,Yes,14,3,3,80,1,3,1,1,32,2,11,4
97,45,Yes,Travel_Rarely,Research & Development,4,3,Technical Degree,1,3,Male,3,3,Healthcare Representative,1,Married,15520.0,9296,0,Y,No,24,3,2,80,0,15,6,1,14,11,5,16
98,21,No,Travel_Rarely,Research & Development,15,4,Human Resources,1,4,Female,3,4,Laboratory Technician,3,Divorced,12874.0,18333,3,Y,No,16,3,4,80,3,5,6,4,35,11,8,13
99,24,No,Travel_Rarely,Sales,11,4,Human Resources,1,3,Female,4,2,Sales Representative,2,Married,15079.0,10748,4,Y,Yes,14,3,3,80,1,19,6,4,26,1,2,5
100,52,Yes,Travel_Rarely,Sales,1,1,Life Sciences,1,3,Male,3,2,Sales Representative,3,Married,18082.0,20628,7,Y,No,21,3,3,80,1,30,5,1,4,4,7,13
101,26,Yes,Non-Travel,Sales,18,1,Technical Degree,1,1,Male,3,2,Sales Representative,1,Divorced,8243.0,21367,3,Y,No,21,3,2,80,1,18,0,1,1,0,8,11
102,25,No,Non-Travel,Research & Development,29,5,Marketing,1,1,Male,3,3,Research Scientist,3,Married,10018.0,13755,2,Y,No,13,3,1,80,3,21,3,3,32,20,8,0
103,34,No,Travel_Rarely,Research & Development,1,3,Human Resources,1,3,Male,2,2,Research Director,2,Single,17732.0,4725,1,Y,No,18,3,3,80,2,20,4,2,15,10,11,4
104,34,No,Travel_Rarely,Research & Development,8,4,Human Resources,1,3,Male,4,1,Manufacturing Director,1,Divorced,13100.0,22983,3,Y,Yes,24,4,2,80,0,17,3,3,22,4,13,17
105,50,No,Travel_Rarely,Human Resources,25,5,Human Resources,1,1,Male,3,2,Manager,2,Single,17691.0,23750,9,Y,No,18,3,3,80,3,31,2,1,37,34,13,13
106,49,No,Travel_Rarely,Sales,16,5,Life Sciences,1,2,Male,2,5,Sales Executive,3,Married,5820.0,15025,3,Y,No,16,3,3,80,2,33,0,4,15,10,6,6
107,25,No,Travel_Rarely,Research & Development,26,1,Human Resources,1,4,Male,1,5,Manager,4,Single,12001.0,6887,9,Y,No,19,3,2,80,1,26,1,1,13,0,11,14
108,36,No,Travel_Rarely,Research & Development,28,4,Human Resources,1,4,Male,4,2,Healthcare Representative,3,Married,14907.0,15658,4,Y,No,22,3,4,80,2,37,0,4,28,1,10,8
109,55,No,Non-Travel,Sales,22,2,Life Sciences,1,1,Male,3,2,Manager,2,Married,12669.0,18580,6,Y,No,20,3,4,80,2,29,1,4,25,23,9,14
110,20,No,Travel_Rarely,Sales,18,1,Human Resources,1,4,Female,2,5,Manager,3,Single,16916.0,7226,8,Y,No,11,3,4,80,2,32,6,4,34,30,2,15
111,22,Yes,Travel_Rarely,Sales,22,4,Technical Degree,1,1,Female,1,2,Sales Representative,4,Married,11878.0,4828,1,Y,No,23,4,3,80,0,26,0,4,14,0,2,8
112,30,No,Travel_Rarely,Sales,9,5,Technical Degree,1,1,Male,1,4,Manager,2,Married,3985.0,15031,4,Y,No,18,3,1,80,2,22,1,2,2,2,1,6
113,48,No,Travel_Rarely,Human Resources,12,5,Life Sciences,1,1,Male,2,5,Human Resources,3,Single,9112.0,5988,9,Y,No,16,3,1,80,2,18,3,1,22,13,0,6
114,33,No,Travel_Frequently,Research & Development,19,3,Technical Degree,1,1,Male,2,3,Research Scientist,2,Married,9467.0,24116,8,Y,No,11,3,3,80,2,30,6,3,28,4,12,16
115,49,No,Travel_Rarely,Research & Development,25,2,Other,1,2,Male,4,5,Laboratory Technician,2,Single,19931.0,23663,2,Y,Yes,14,3,3,80,2,3,6,4,33,27,1,10
116,39,Yes,Travel_Frequently,Research & Development,18,1,Other,1,3,Male,2,1,Research Director,1,Divorced,1336.0,20853,0,Y,Yes,15,3,2,80,3,18,6,4,32,30,4,5
117,46,No,Travel_Rarely,Research & Development,27,3,Other,1,3,Male,3,4,Laboratory Technician,1,Married,11165.0,20014,1,Y,Yes,17,3,1,80,3,37,3,3,40,10,15,13
118,39,No,Travel_Rarely,Sales,5,3,Marketing,1,2,Male,1,3,Sales Representative,2,Divorced,13768.0,16239,5,Y,No,18,3,3,80,2,39,3,3,40,22,0,14
119,60,No,Travel_Rarely,Research & Development,27,2,Human Resources,1,4,Male,3,2,Manager,3,Single,4968.0,5278,4,Y,Yes,19,3,4,80,2,21,3,4,22,1,9,7
120,20,Yes,Travel_Rarely,Research & Development,2,1,Marketing,1,4,Female,3,1,Research Scientist,3,Single,1910.0,20422,0,Y,Yes,22,3,1,80,2,8,6,3,6,0,3,3
121,27,No,Travel_Rarely,Research & Development,7,1,Technical Degree,1,3,Male,3,1,Manufacturing Director,3,Single,19380.0,23816,0,Y,No,22,3,3,80,1,30,0,3,2,2,10,0
122,59,No,Travel_Rarely,Research & Development,27,5,Life Sciences,1,4,Male,1,4,Research Director,4,Single,16632.0,23405,3,Y,Yes,16,3,2,80,2,9,1,2,31,2,9,5
123,38,No,Travel_Frequently,Research & Development,10,1,Other,1,3,Male,1,3,Laboratory Technician,2,Married,17279.0,22714,3,Y,No,20,3,2,80,2,9,3,3,30,1,9,0
124,33,No,Travel_Rarely,Sales,15,3,Life Sciences,1,3,Male,1,1,Manager,2,Divorced,4129.0,8470,5,Y,No,19,3,1,80,3,29,0,1,17,6,0,4
125,29,No,Travel_Rarely,Sales,25,5,Marketing,1,2,Female,2,3,Manager,4,Married,6447.0,25461,5,Y,Yes,14,3,4,80,3,9,1,1,6,4,11,4
126,19,No,Non-Travel,Research & Development,7,1,Technical Degree,1,4,Female,3,3,Research Director,2,Divorced,7129.0,14766,9,Y,No,18,3,1,80,3,35,6,1,40,20,9,4
127,58,No,Travel_Frequently,Research & Development,28,2,Human Resources,1,2,Male,4,1,Manager,2,Single,6850.0,6761,5,Y,Yes,13,3,3,80,0,17,0,4,0,0,7,16
128,41,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,3,Female,2,3,Manager,4,Divorced,8446.0,23603,0,Y,No,14,3,4,80,1,18,6,1,13,9,11,11
129,52,No,Travel_Frequently,Sales,15,4,Other,1,3,Female,2,4,Sales Executive,1,Single,12949.0,25385,9,Y,No,20,4,3,80,2,22,5,2,31,4,4,6
130,47,Yes,Travel_Rarely,Research & Development,20,2,Technical Degree,1,3,male,4,1,Manager,2,Divorced,9519.0,3387,8,Y,Yes,14,3,4,80,3,3,3,1,5,3,9,14
131,47,No,Travel_Rarely,Research & Development,28,2,Life Sciences,1,1,Male,3,4,Manufacturing Director,4,Single,1314.0,19025,6,Y,Yes,16,3,4,80,0,11,2,4,38,20,15,12
132,52,No,Travel_Rarely,Sales,20,1,Medical,1,1,Female,4,4,Sales Executive,3,Divorced,12737.0,17146,6,Y,No,25,4,3,80,2,23,0,2,9,3,3,11
133,36,Yes,Travel_Rarely,Sales,15,5,Other,1,1,Male,1,3,Sales Representative,1,Single,2134.0,23996,6,Y,Yes,19,3,1,80,2,12,3,1,6,6,2,12
134,25,No,Travel_Rarely,Research & Development,10,5,Human Resources,1,2,Male,3,3,Research Scientist,3,Single,11938.0,9210,1,Y,Yes,16,3,2,80,3,3,4,2,25,5,8,5
135,43,No,Travel_Rarely,Human Resources,24,3,Other,1,3,Male,2,1,Human Resources,2,Married,16588.0,2574,1,Y,No,11,3,4,80,2,26,1,2,33,19,5,0
136,57,No,Travel_Rarely,Research & Development,26,1,Other,1,4,Female,1,2,Laboratory Technician,1,Married,9347.0,11913,5,Y,No,15,3,4,80,2,37,5,4,29,17,11,5
137,24,No,Travel_Rarely,Research & Development,29,5,Human Resources,1,2,Female,1,1,Laboratory Technician,4,Married,6592.0,11210,6,Y,No,19,3,2,80,2,38,3,4,35,24,0,12
138,-1,No,Non-Travel,Research & Development,26,4,Other,1,2,Female,2,4,Research Scientist,2,Divorced,19108.0,9796,2,Y,No,15,3,1,80,3,7,4,2,20,1,13,12
139,24,No,Travel_Rarely,Research & Development,14,1,Life Sciences,1,2,Female,4,3,Research Director,4,Married,18270.0,13612,3,Y,No,16,3,2,80,0,25,0,1,16,5,7,12
140,20,No,Non-Travel,  research & development  ,26,1,Technical Degree,1,4,Female,1,4,Manager,1,Married,11997.0,26975,2,Y,Yes,13,4,1,80,2,33,0,4,32,2,9,3
141,18,No,Non-Travel,Human Resources,26,5,Life Sciences,1,3,Female,1,5,Manager,3,Single,1721.0,23074,6,Y,No,18,3,4,80,0,8,4,2,9,0,1,4
142,53,No,Travel_Rarely,Sales,10,2,Technical Degree,1,1,Female,3,5,Sales Executive,2,Married,10104.0,3456,6,Y,No,20,3,4,80,2,9,5,3,11,0,12,12
143,42,Yes,Non-Travel,Research & Development,17,1,Medical,1,3,Female,3,4,Laboratory Technician,2,Married,1870.0,3595,3,Y,No,21,3,3,80,3,0,4,3,15,2,8,8
144,54,Yes,Travel_Rarely,Research & Development,21,2,Other,1,3,Male,2,2,Healthcare Representative,4,Divorced,7751.0,26692,6,Y,No,23,3,1,80,0,7,1,4,40,4,10,16
145,18,No,Travel_Rarely,Sales,14,3,Medical,1,2,Female,2,2,Sales Executive,1,Married,17881.0,9986,4,Y,Yes,14,4,2,80,3,9,0,1,31,12,6,2
