EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,SalaryBand,SatisfactionScore,AttritionBinary
18,46,No,Non-Travel,Research & Development,9,1,Life Sciences,1,Female,1,5,Research Director,4,Married,13158,10114,0,No,22,3,2,3,17,3,1,34,18,11,15,46-60,> 10K,2.0,0
19,30,Yes,Travel_Rarely,Research & Development,6,2,Other,4,Female,3,1,Healthcare Representative,2,Married,16735,14188,7,No,24,3,1,3,10,1,4,29,2,10,2,26-35,> 10K,3.33,1
20,34,No,Travel_Rarely,Sales,13,3,Marketing,3,Male,3,3,Sales Executive,3,Divorced,16830,12669,6,Yes,14,3,4,1,36,2,3,28,17,10,14,26-35,> 10K,3.0,0
21,49,No,Travel_Rarely,Research & Development,27,1,Medical,1,Male,1,2,Manager,2,Single,16125,13443,8,No,24,3,4,1,25,4,2,21,6,11,12,46-60,> 10K,1.67,0
22,39,No,Travel_Frequently,Sales,22,2,Medical,1,Female,4,1,Sales Representative,4,Single,12905,20552,2,No,20,3,1,3,7,2,3,10,8,3,10,36-45,> 10K,2.67,0
23,21,No,Travel_Rarely,Sales,28,2,Life Sciences,4,Male,1,4,Manager,4,Divorced,13298,21629,9,No,16,3,3,3,21,1,1,19,19,14,13,18-25,> 10K,3.0,0
24,22,No,Travel_Frequently,Research & Development,20,2,Life Sciences,4,Male,1,4,Research Scientist,4,Married,3011,9235,4,No,15,3,2,0,4,0,2,28,11,15,6,18-25,3K-6K,3.33,0
25,54,No,Travel_Rarely,Research & Development,4,5,Technical Degree,1,Male,2,2,Research Director,3,Single,4373,11914,2,No,11,3,2,3,1,3,4,40,4,8,14,46-60,3K-6K,2.67,0
26,58,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Male,4,1,Research Scientist,1,Married,11335,19545,4,No,25,4,1,3,4,1,3,33,2,10,5,46-60,> 10K,1.67,1
27,30,Yes,Travel_Rarely,Sales,26,1,Other,3,Male,3,2,Sales Representative,4,Divorced,11692,12081,9,No,16,3,3,3,34,5,3,0,0,3,6,26-35,> 10K,3.33,1
28,51,No,Travel_Frequently,Research & Development,4,5,Other,1,Male,1,3,Research Director,4,Single,15527,20424,0,No,24,3,3,3,31,5,4,30,10,1,13,46-60,> 10K,3.0,0
29,39,Yes,Travel_Frequently,Research & Development,8,1,Life Sciences,1,Male,4,2,Healthcare Representative,4,Single,13773,17667,3,Yes,24,3,1,1,18,1,3,29,24,9,3,36-45,> 10K,2.67,1
30,40,No,Travel_Frequently,Sales,13,5,Life Sciences,3,Female,3,3,Sales Executive,4,Single,2289,13593,5,Yes,19,3,2,3,38,4,1,17,3,2,8,36-45,< 3K,2.67,0
31,20,No,Travel_Frequently,Research & Development,10,4,Marketing,2,Male,2,4,Research Scientist,3,Divorced,2447,10160,1,No,21,3,2,2,3,2,4,16,4,1,6,18-25,< 3K,3.0,0
32,59,No,Non-Travel,Research & Development,18,2,Technical Degree,3,Female,2,3,Sales Executive,1,Divorced,15139,24033,6,No,11,3,2,3,22,2,3,37,0,13,14,46-60,> 10K,2.33,0
33,51,No,Travel_Rarely,Sales,9,1,Medical,3,Male,4,1,Sales Executive,1,Married,14757,11291,7,No,18,3,3,1,18,4,4,13,10,0,2,46-60,> 10K,2.67,0
34,49,No,Travel_Rarely,Human Resources,1,2,Technical Degree,4,Female,1,1,Manager,1,Married,6462,14210,0,Yes,18,4,1,2,25,3,2,22,17,10,4,46-60,6K-10K,2.33,0
35,38,No,Travel_Rarely,Human Resources,13,4,Technical Degree,3,Male,3,1,Human Resources,4,Married,8657,25702,3,No,13,3,3,2,25,0,4,24,11,5,16,36-45,6K-10K,3.67,0
36,38,No,Travel_Frequently,Research & Development,18,1,Life Sciences,1,Male,4,1,Healthcare Representative,4,Single,5920,25867,3,No,25,4,2,3,6,6,3,14,12,3,0,36-45,3K-6K,2.67,0
37,28,No,Non-Travel,Research & Development,15,3,Life Sciences,1,Male,2,5,Manufacturing Director,1,Divorced,11345,6132,4,Yes,23,4,3,3,31,6,1,21,8,6,0,26-35,> 10K,1.0,0
38,56,No,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,3,3,Sales Representative,1,Single,9417,2844,3,No,19,3,2,1,32,0,4,2,1,6,15,46-60,6K-10K,2.0,0
39,21,No,Travel_Rarely,Research & Development,11,3,Human Resources,2,Female,3,1,Laboratory Technician,4,Married,18160,24161,8,No,21,3,1,2,25,5,4,18,4,13,13,18-25,> 10K,3.33,0
40,18,No,Travel_Rarely,Research & Development,29,4,Human Resources,1,Female,1,2,Healthcare Representative,4,Married,10457,3643,6,No,23,3,2,2,23,3,3,33,15,9,10,18-25,> 10K,2.67,0
41,45,No,Travel_Rarely,Sales,14,3,Other,2,Male,2,2,Manager,2,Single,1687,3263,1,No,23,3,4,1,22,4,1,34,23,0,13,36-45,< 3K,1.67,0
42,41,No,Non-Travel,Research & Development,22,1,Technical Degree,1,Male,2,5,Manager,2,Married,17913,4934,0,No,21,4,4,3,37,6,1,0,0,11,7,36-45,> 10K,1.33,0
43,52,No,Non-Travel,Sales,15,3,Human Resources,3,Male,2,3,Sales Representative,2,Married,14223,24523,8,Yes,18,3,1,0,25,1,2,20,2,12,1,46-60,> 10K,2.33,0
44,30,No,Travel_Rarely,Human Resources,14,1,Other,4,Male,3,3,Manager,1,Married,9080,9174,0,No,13,3,3,0,30,2,2,28,21,8,9,26-35,6K-10K,2.33,0
45,51,No,Travel_Rarely,Sales,16,4,Other,1,Male,2,3,Sales Representative,3,Single,19537,2215,5,Yes,20,3,3,2,5,1,3,5,3,7,4,46-60,> 10K,2.33,0
46,28,No,Non-Travel,Research & Development,23,2,Technical Degree,2,Female,4,5,Manager,4,Single,10486,6776,1,No,15,4,3,2,30,2,1,36,10,9,14,26-35,> 10K,2.33,0
47,53,No,Travel_Frequently,Research & Development,29,5,Other,2,Male,2,3,Research Scientist,2,Married,7094,20724,3,Yes,13,3,2,3,39,1,1,0,0,0,0,46-60,6K-10K,1.67,0
48,34,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,4,Female,3,3,Healthcare Representative,3,Divorced,8692,26090,5,No,15,4,4,0,11,4,2,0,0,14,1,26-35,6K-10K,3.0,1
49,52,No,Travel_Rarely,Research & Development,19,5,Life Sciences,1,Female,2,1,Research Director,4,Single,12088,16100,4,No,19,3,1,2,16,4,2,26,22,12,16,46-60,> 10K,2.33,0
50,35,No,Travel_Rarely,Sales,27,2,Life Sciences,3,Female,2,3,Sales Representative,3,Divorced,4103,11699,5,Yes,25,3,3,3,25,3,3,20,13,7,14,26-35,3K-6K,3.0,0
51,57,No,Travel_Rarely,Human Resources,9,4,Medical,1,Male,3,1,Manager,1,Married,3440,20474,2,No,22,3,3,0,2,1,1,15,12,4,17,46-60,3K-6K,1.0,0
52,39,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,Female,2,1,Laboratory Technician,1,Divorced,8124,3116,4,Yes,14,3,1,1,14,1,4,39,34,0,7,36-45,6K-10K,2.0,0
53,41,Yes,Travel_Rarely,Human Resources,5,2,Life Sciences,4,Female,1,3,Manager,1,Single,18228,9750,1,No,16,3,2,2,37,3,2,25,15,14,13,36-45,> 10K,2.33,1
54,36,No,Travel_Rarely,Research & Development,11,5,Technical Degree,1,Male,3,2,Manufacturing Director,2,Single,15031,15580,6,No,13,3,3,1,23,3,3,15,5,3,7,36-45,> 10K,2.0,0
55,54,Yes,Non-Travel,Research & Development,28,3,Human Resources,3,Male,2,4,Research Director,4,Single,15536,15932,2,Yes,13,3,2,0,29,4,1,27,14,6,7,46-60,> 10K,2.67,1
56,56,No,Travel_Frequently,Human Resources,20,1,Human Resources,2,Female,1,2,Human Resources,1,Married,1446,12932,0,Yes,15,3,2,3,35,4,1,0,0,13,12,46-60,< 3K,1.33,0
57,38,No,Travel_Rarely,Sales,25,4,Life Sciences,4,Female,4,3,Sales Representative,2,Divorced,4915,23718,7,No,18,3,2,3,26,5,2,35,30,11,4,36-45,3K-6K,2.67,0
58,25,No,Travel_Rarely,Sales,24,2,Life Sciences,3,Male,3,3,Sales Executive,2,Single,16787,15246,7,Yes,24,3,3,0,21,1,3,9,9,4,9,18-25,> 10K,2.67,0
59,45,No,Travel_Frequently,Sales,28,5,Life Sciences,2,Male,2,2,Sales Executive,2,Married,18618,20545,2,No,18,3,3,1,1,4,4,16,8,10,6,36-45,> 10K,2.67,0
60,22,No,Travel_Rarely,Research & Development,4,3,Other,4,Male,3,3,Laboratory Technician,2,Single,7587,21640,6,No,13,3,1,3,6,6,2,22,10,2,8,18-25,6K-10K,2.67,0
61,34,No,Travel_Rarely,Research & Development,20,5,Technical Degree,4,Male,1,1,Research Director,1,Married,1226,11340,8,No,18,3,1,2,15,4,3,6,1,11,13,26-35,< 3K,2.67,0
62,54,No,Travel_Rarely,Sales,18,3,Technical Degree,2,Male,3,5,Manager,2,Single,12151,21560,7,No,23,4,2,1,23,1,1,6,0,10,5,46-60,> 10K,1.67,0
63,53,No,Non-Travel,Research & Development,25,1,Technical Degree,2,Male,4,3,Manufacturing Director,1,Single,6558,8380,2,No,21,3,3,1,29,3,4,14,2,3,9,46-60,6K-10K,2.33,0
64,36,No,Travel_Frequently,Research & Development,3,1,Human Resources,3,Female,2,3,Manufacturing Director,1,Married,12971,16988,1,No,23,3,2,2,0,1,3,33,1,1,0,36-45,> 10K,2.33,0
65,44,No,Travel_Rarely,Sales,4,2,Medical,1,Female,4,2,Manager,2,Married,1186,17833,9,Yes,18,4,1,0,26,6,4,3,3,7,10,36-45,< 3K,2.33,0
66,51,Yes,Travel_Rarely,Research & Development,14,2,Human Resources,1,Female,1,1,Healthcare Representative,1,Single,15680,21729,6,Yes,13,4,2,3,8,0,3,13,6,11,7,46-60,> 10K,1.67,1
67,28,No,Travel_Frequently,Sales,7,3,Technical Degree,1,Male,3,2,Manager,4,Single,15559,25380,6,Yes,20,3,4,1,6,1,3,13,1,1,5,26-35,> 10K,2.67,0
68,29,No,Travel_Rarely,Research & Development,26,3,Marketing,1,Female,2,2,Manager,4,Single,12069,11332,8,Yes,25,3,2,3,4,0,3,15,5,13,16,26-35,> 10K,2.67,0
69,38,Yes,Travel_Rarely,Sales,8,3,Medical,1,Male,2,3,Sales Representative,3,Divorced,3535,21317,4,Yes,23,3,3,3,29,1,3,6,6,12,3,36-45,3K-6K,2.33,1
70,28,No,Travel_Rarely,Human Resources,24,3,Life Sciences,3,Male,1,1,Manager,4,Married,2932,26125,3,No,25,3,2,1,26,6,4,31,18,10,5,26-35,< 3K,3.67,0
71,56,No,Travel_Rarely,Research & Development,16,1,Other,4,Female,1,3,Manufacturing Director,1,Married,3032,7655,7,No,20,3,2,0,9,0,2,18,7,5,14,46-60,3K-6K,2.33,0
72,45,No,Non-Travel,Sales,20,2,Human Resources,3,Male,3,3,Manager,1,Married,2252,4448,3,No,12,3,3,1,24,0,4,1,1,13,9,36-45,< 3K,2.67,0
73,22,Yes,Non-Travel,Sales,15,2,Other,3,Male,2,3,Manager,4,Single,6509,16185,3,Yes,20,3,4,0,17,6,3,9,2,6,16,18-25,6K-10K,3.33,1
74,34,No,Travel_Rarely,Research & Development,7,4,Medical,3,Male,1,3,Research Director,2,Married,6074,19211,1,No,12,4,3,2,6,1,4,16,13,6,9,26-35,6K-10K,3.0,0
75,37,No,Travel_Rarely,Research & Development,26,2,Marketing,4,Male,2,5,Research Director,2,Single,14900,24280,0,No,19,3,1,0,30,5,4,36,24,12,4,36-45,> 10K,3.33,0
76,58,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,4,Healthcare Representative,1,Married,15523,3203,3,No,17,3,4,0,31,4,4,11,0,0,6,46-60,> 10K,2.67,0
77,29,No,Travel_Rarely,Research & Development,22,5,Human Resources,3,Female,4,1,Research Director,2,Married,2881,8619,6,No,16,4,4,1,10,2,3,5,4,7,9,26-35,< 3K,2.67,0
78,23,No,Travel_Rarely,Sales,22,5,Technical Degree,4,Female,1,5,Manager,3,Married,1269,8798,8,No,17,3,3,3,9,4,4,21,2,8,10,18-25,< 3K,3.67,0
79,34,No,Travel_Rarely,Research & Development,22,4,Life Sciences,3,Female,3,4,Research Scientist,3,Single,2630,19228,8,No,18,3,2,3,21,0,1,31,21,13,2,26-35,< 3K,2.33,0
80,36,No,Travel_Frequently,Sales,12,3,Technical Degree,1,Female,4,4,Manager,4,Single,18958,4971,9,No,22,3,1,0,30,1,3,40,25,13,10,36-45,> 10K,2.67,0
81,43,No,Travel_Rarely,Research & Development,18,4,Technical Degree,2,Female,3,4,Healthcare Representative,4,Divorced,14383,3268,0,Yes,11,3,1,0,40,1,4,19,17,6,5,36-45,> 10K,3.33,0
82,49,Yes,Travel_Rarely,Research & Development,24,4,Human Resources,3,Male,1,5,Manufacturing Director,2,Married,17152,17952,4,No,18,3,4,1,13,1,1,0,0,12,5,46-60,> 10K,2.0,1
83,23,No,Travel_Rarely,Research & Development,14,1,Technical Degree,2,Female,3,1,Research Director,1,Single,12084,6744,6,No,13,3,1,0,2,1,4,5,0,7,14,18-25,> 10K,2.33,0
84,53,No,Travel_Rarely,Sales,15,2,Technical Degree,3,Male,2,2,Sales Executive,4,Single,2695,9735,6,Yes,13,3,4,1,23,5,2,18,5,3,2,46-60,< 3K,3.0,0
85,55,No,Travel_Frequently,Research & Development,15,1,Human Resources,3,Female,1,4,Manager,3,Divorced,15821,16548,9,No,16,4,4,2,13,2,4,17,0,11,10,46-60,> 10K,3.33,0
86,28,No,Travel_Rarely,Research & Development,5,2,Human Resources,1,Male,2,2,Healthcare Representative,4,Married,4262,11821,5,No,14,3,1,0,15,3,4,5,4,7,7,26-35,3K-6K,3.0,0
87,50,Yes,Travel_Rarely,Research & Development,16,4,Marketing,4,Female,3,2,Laboratory Technician,4,Divorced,2445,5530,9,No,14,3,4,2,27,0,2,32,26,2,7,46-60,< 3K,3.33,1
88,41,No,Travel_Frequently,Research & Development,5,2,Technical Degree,2,Female,1,3,Manager,3,Single,17436,7085,3,Yes,14,3,2,0,34,2,3,22,9,12,15,36-45,> 10K,2.67,0
89,40,Yes,Travel_Rarely,Research & Development,2,3,Medical,4,Female,2,2,Research Director,1,Married,10949,10995,2,No,20,3,4,0,39,4,2,22,5,0,2,36-45,> 10K,2.33,1
90,32,Yes,Travel_Rarely,Research & Development,20,3,Life Sciences,1,Female,2,3,Manufacturing Director,4,Single,19050,26703,8,No,19,3,2,2,1,3,3,25,22,12,7,26-35,> 10K,2.67,1
91,44,No,Non-Travel,Sales,28,4,Other,1,Male,2,1,Sales Executive,4,Married,7901,4264,9,No,18,3,2,2,33,3,2,12,11,12,7,36-45,6K-10K,2.33,0
92,28,Yes,Travel_Frequently,Research & Development,25,5,Life Sciences,2,Male,4,1,Manufacturing Director,4,Single,1719,2019,3,Yes,13,3,2,1,17,1,4,6,3,15,12,26-35,< 3K,3.33,1
93,34,No,Travel_Rarely,Research & Development,9,3,Human Resources,4,Male,2,3,Manager,2,Single,9597,20165,7,No,11,3,1,1,6,2,4,14,11,7,0,26-35,6K-10K,3.33,0
94,31,No,Travel_Rarely,Research & Development,22,4,Other,1,Male,2,1,Healthcare Representative,4,Single,7855,14962,0,No,11,3,2,2,37,4,3,26,12,14,9,26-35,6K-10K,2.67,0
95,44,No,Travel_Rarely,Research & Development,27,1,Human Resources,3,Male,3,4,Research Director,3,Married,19678,25241,6,No,11,3,1,0,6,1,3,25,16,10,4,36-45,> 10K,3.0,0
96,35,Yes,Travel_Rarely,Research & Development,9,5,Marketing,3,Male,3,1,Manufacturing Director,1,Married,9263,23218,5,Yes,14,3,3,1,3,1,1,32,2,11,4,26-35,6K-10K,1.67,1
97,45,Yes,Travel_Rarely,Research & Development,4,3,Technical Degree,3,Male,3,3,Healthcare Representative,1,Married,15520,9296,0,No,24,3,2,0,15,6,1,14,11,5,16,36-45,> 10K,1.67,1
98,21,No,Travel_Rarely,Research & Development,15,4,Human Resources,4,Female,3,4,Laboratory Technician,3,Divorced,12874,18333,3,No,16,3,4,3,5,6,4,35,11,8,13,18-25,> 10K,3.67,0
99,24,No,Travel_Rarely,Sales,11,4,Human Resources,3,Female,4,2,Sales Representative,2,Married,15079,10748,4,Yes,14,3,3,1,19,6,4,26,1,2,5,18-25,> 10K,3.0,0
100,52,Yes,Travel_Rarely,Sales,1,1,Life Sciences,3,Male,3,2,Sales Representative,3,Married,18082,20628,7,No,21,3,3,1,30,5,1,4,4,7,13,46-60,> 10K,2.33,1
101,26,Yes,Non-Travel,Sales,18,1,Technical Degree,1,Male,3,2,Sales Representative,1,Divorced,8243,21367,3,No,21,3,2,1,18,0,1,1,0,8,11,26-35,6K-10K,1.0,1
102,25,No,Non-Travel,Research & Development,29,5,Marketing,1,Male,3,3,Research Scientist,3,Married,10018,13755,2,No,13,3,1,3,21,3,3,32,20,8,0,18-25,> 10K,2.33,0
103,34,No,Travel_Rarely,Research & Development,1,3,Human Resources,3,Male,2,2,Research Director,2,Single,17732,4725,1,No,18,3,3,2,20,4,2,15,10,11,4,26-35,> 10K,2.33,0
104,34,No,Travel_Rarely,Research & Development,8,4,Human Resources,3,Male,4,1,Manufacturing Director,1,Divorced,13100,22983,3,Yes,24,4,2,0,17,3,3,22,4,13,17,26-35,> 10K,2.33,0
105,50,No,Travel_Rarely,Human Resources,25,5,Human Resources,1,Male,3,2,Manager,2,Single,17691,23750,9,No,18,3,3,3,31,2,1,37,34,13,13,46-60,> 10K,1.33,0
106,49,No,Travel_Rarely,Sales,16,5,Life Sciences,2,Male,2,5,Sales Executive,3,Married,5820,15025,3,No,16,3,3,2,33,0,4,15,10,6,6,46-60,3K-6K,3.0,0
107,25,No,Travel_Rarely,Research & Development,26,1,Human Resources,4,Male,1,5,Manager,4,Single,12001,6887,9,No,19,3,2,1,26,1,1,13,0,11,14,18-25,> 10K,3.0,0
108,36,No,Travel_Rarely,Research & Development,28,4,Human Resources,4,Male,4,2,Healthcare Representative,3,Married,14907,15658,4,No,22,3,4,2,37,0,4,28,1,10,8,36-45,> 10K,3.67,0
109,55,No,Non-Travel,Sales,22,2,Life Sciences,1,Male,3,2,Manager,2,Married,12669,18580,6,No,20,3,4,2,29,1,4,25,23,9,14,46-60,> 10K,2.33,0
110,20,No,Travel_Rarely,Sales,18,1,Human Resources,4,Female,2,5,Manager,3,Single,16916,7226,8,No,11,3,4,2,32,6,4,34,30,2,15,18-25,> 10K,3.67,0
111,22,Yes,Travel_Rarely,Sales,22,4,Technical Degree,1,Female,1,2,Sales Representative,4,Married,11878,4828,1,No,23,4,3,0,26,0,4,14,0,2,8,18-25,> 10K,3.0,1
112,30,No,Travel_Rarely,Sales,9,5,Technical Degree,1,Male,1,4,Manager,2,Married,3985,15031,4,No,18,3,1,2,22,1,2,2,2,1,6,26-35,3K-6K,1.67,0
113,48,No,Travel_Rarely,Human Resources,12,5,Life Sciences,1,Male,2,5,Human Resources,3,Single,9112,5988,9,No,16,3,1,2,18,3,1,22,13,0,6,46-60,6K-10K,1.67,0
114,33,No,Travel_Frequently,Research & Development,19,3,Technical Degree,1,Male,2,3,Research Scientist,2,Married,9467,24116,8,No,11,3,3,2,30,6,3,28,4,12,16,26-35,6K-10K,2.0,0
115,49,No,Travel_Rarely,Research & Development,25,2,Other,2,Male,4,5,Laboratory Technician,2,Single,19931,23663,2,Yes,14,3,3,2,3,6,4,33,27,1,10,46-60,> 10K,2.67,0
116,39,Yes,Travel_Frequently,Research & Development,18,1,Other,3,Male,2,1,Research Director,1,Divorced,1336,20853,0,Yes,15,3,2,3,18,6,4,32,30,4,5,36-45,< 3K,2.67,1
117,46,No,Travel_Rarely,Research & Development,27,3,Other,3,Male,3,4,Laboratory Technician,1,Married,11165,20014,1,Yes,17,3,1,3,37,3,3,40,10,15,13,46-60,> 10K,2.33,0
118,39,No,Travel_Rarely,Sales,5,3,Marketing,2,Male,1,3,Sales Representative,2,Divorced,13768,16239,5,No,18,3,3,2,39,3,3,40,22,0,14,36-45,> 10K,2.33,0
119,60,No,Travel_Rarely,Research & Development,27,2,Human Resources,4,Male,3,2,Manager,3,Single,4968,5278,4,Yes,19,3,4,2,21,3,4,22,1,9,7,46-60,3K-6K,3.67,0
120,20,Yes,Travel_Rarely,Research & Development,2,1,Marketing,4,Female,3,1,Research Scientist,3,Single,1910,20422,0,Yes,22,3,1,2,8,6,3,6,0,3,3,18-25,< 3K,3.33,1
121,27,No,Travel_Rarely,Research & Development,7,1,Technical Degree,3,Male,3,1,Manufacturing Director,3,Single,19380,23816,0,No,22,3,3,1,30,0,3,2,2,10,0,26-35,> 10K,3.0,0
122,59,No,Travel_Rarely,Research & Development,27,5,Life Sciences,4,Male,1,4,Research Director,4,Single,16632,23405,3,Yes,16,3,2,2,9,1,2,31,2,9,5,46-60,> 10K,3.33,0
123,38,No,Travel_Frequently,Research & Development,10,1,Other,3,Male,1,3,Laboratory Technician,2,Married,17279,22714,3,No,20,3,2,2,9,3,3,30,1,9,0,36-45,> 10K,2.67,0
124,33,No,Travel_Rarely,Sales,15,3,Life Sciences,3,Male,1,1,Manager,2,Divorced,4129,8470,5,No,19,3,1,3,29,0,1,17,6,0,4,26-35,3K-6K,2.0,0
125,29,No,Travel_Rarely,Sales,25,5,Marketing,2,Female,2,3,Manager,4,Married,6447,25461,5,Yes,14,3,4,3,9,1,1,6,4,11,4,26-35,6K-10K,2.33,0
126,19,No,Non-Travel,Research & Development,7,1,Technical Degree,4,Female,3,3,Research Director,2,Divorced,7129,14766,9,No,18,3,1,3,35,6,1,40,20,9,4,18-25,6K-10K,2.33,0
127,58,No,Travel_Frequently,Research & Development,28,2,Human Resources,2,Male,4,1,Manager,2,Single,6850,6761,5,Yes,13,3,3,0,17,0,4,0,0,7,16,46-60,6K-10K,2.67,0
128,41,No,Travel_Rarely,Research & Development,5,3,Technical Degree,3,Female,2,3,Manager,4,Divorced,8446,23603,0,No,14,3,4,1,18,6,1,13,9,11,11,36-45,6K-10K,2.67,0
129,52,No,Travel_Frequently,Sales,15,4,Other,3,Female,2,4,Sales Executive,1,Single,12949,25385,9,No,20,4,3,2,22,5,2,31,4,4,6,46-60,> 10K,2.0,0
130,47,Yes,Travel_Rarely,Research & Development,20,2,Technical Degree,3,Male,4,1,Manager,2,Divorced,9519,3387,8,Yes,14,3,4,3,3,3,1,5,3,9,14,46-60,6K-10K,2.0,1
131,47,No,Travel_Rarely,Research & Development,28,2,Life Sciences,1,Male,3,4,Manufacturing Director,4,Single,1314,19025,6,Yes,16,3,4,0,11,2,4,38,20,15,12,46-60,< 3K,3.0,0
132,52,No,Travel_Rarely,Sales,20,1,Medical,1,Female,4,4,Sales Executive,3,Divorced,12737,17146,6,No,25,4,3,2,23,0,2,9,3,3,11,46-60,> 10K,2.0,0
133,36,Yes,Travel_Rarely,Sales,15,5,Other,1,Male,1,3,Sales Representative,1,Single,2134,23996,6,Yes,19,3,1,2,12,3,1,6,6,2,12,36-45,< 3K,1.0,1
134,25,No,Travel_Rarely,Research & Development,10,5,Human Resources,2,Male,3,3,Research Scientist,3,Single,11938,9210,1,Yes,16,3,2,3,3,4,2,25,5,8,5,18-25,> 10K,2.33,0
135,43,No,Travel_Rarely,Human Resources,24,3,Other,3,Male,2,1,Human Resources,2,Married,16588,2574,1,No,11,3,4,2,26,1,2,33,19,5,0,36-45,> 10K,2.33,0
136,57,No,Travel_Rarely,Research & Development,26,1,Other,4,Female,1,2,Laboratory Technician,1,Married,9347,11913,5,No,15,3,4,2,37,5,4,29,17,11,5,46-60,6K-10K,3.0,0
